formula,Ef
PtC,1.9953836506249996
CdC,2.1030478831250004
CdC,1.9835657181250004
AuN,1.5288500038099997
AgC,2.235058755625
AuC,2.245312625625
AgC,2.2577964756249997
PtC,1.563910145625
AgN,1.5378644238100003
AgN,1.5329490188100006
C3N,2.0212696978425013
C3N,1.7946040403425005
IrC,1.6755006356249993
Er3InC,1.6055141085833333
Ho3InC,1.596624090583333
O2,1.56497783875
Cu,1.9421013800000004
NaB,1.8501968391666668
IN,2.39533922381
KC,2.315763816625
NCl,1.9806901121800005
O2,1.9543089287500002
IN,1.8301866338100004
BrN,2.0692863038100002
O2,1.67560344375
TlC,2.3657735381249996
KB,2.0830231926666665
CsB,2.222233088563218
RbB,2.1898440214942525
NaN3,2.4517666694650004
KC,2.3160371891250002
KC,2.3160994441250002
Rb3Re,1.6143951603663789
O2,1.6790399737500001
VC3,2.2542452384375
Cu(BrN)2,1.5343421790480007
Ce3InC,1.8114241435833343
Mn3CuN,1.6628169615240012
ThCo5,2.363049625000001
Ca(IN3)2,1.5998183128577788
C3N4,2.3871840334614283
Co(IN2)3,1.902425982572001
SbS4N3,1.69759418020125
PtN4Cl2O,2.0900481115887506
Cd(IN)4,1.9372153783866668
Co(N3Cl)2,2.3614666721333344
C3IN,1.8139833072740004
Cu(BrN3)2,2.2741714995244453
Ru(IN3)2,2.2760815056355557
Ru(N3Cl)2,2.3245032704666673
KSnN3,1.6728471719720006
B9N,2.2499281717619994
Mg(BrN3)2,1.867376482857778
Co(IN3)2,2.1748964706355562
Co(N2Cl)3,2.3085600695940003
K2SnN6,1.9059329227466673
K2Re,1.9838011921666672
Ni(N3Cl)2,2.481881529911112
K2Tc,1.5629280946666668
HfGeRh2,2.0661192225000002
CaRh2Pb,1.9425559125
YAg2Pb,1.6806366499999998
Y2AlHg,2.06235679
Sc2TlZn,2.0094312624999997
MgPd2Au,1.6131277075000003
Al2OsPt,2.31959183125
HfGaPd2,1.8077253137499998
ZrMnRh2,2.35567174
Y2CdPd,1.8033928562500003
YZn2Pd,1.6842009549999994
LiFePt2,1.8369209200000003
Y2CdIn,1.9965605854166668
Mg2IrPd,1.9535454325
Li2YIn,1.6939029141666666
ZrCuAu2,1.7939629850000003
LiCu2Ni,1.92357536
Y2ZnCu,2.25125294375
Y2IrPt,1.6458070200000003
ScCu2Hg,1.5801379874999997
La2GaCu,1.8521129574999997
LiY2Tl,2.0707330862499997
Y2IrAu,1.6560127199999997
Y2AgHg,1.8919919425000007
Cu2PtAu,2.0193267475
Cu2AgAu,1.6556758075000004
Al2TcPt,2.2258126024999996
BeFePt2,2.18554586375
MnAl2Fe,2.402177637500001
LiGe2Rh,1.6487198899999997
NaY2Pb,1.8390628987500004
LaMg2Cd,1.5535102137499999
MgGaCo2,2.1664741225000004
LiScRh2,1.817160475
Sc2CoNi,2.2616470500000005
Sc2CdRu,1.9663626924999997
SnRh2Au,2.1419742312499994
MgZnNi2,1.90190739125
MnZnNi2,2.15646410375
MnPd2Au,1.9358663925
Y2CuHg,2.0406778450000007
