c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Gd3+,Sc3+,Al3+,1.075,1.2,0.885,1.36,0.675,1.61,-0.04848022484375072
Ca2+,Sc3+,Ti4+,1.14,1.0,0.885,1.36,0.745,1.54,-0.14099705468750018
Cd2+,Cr3+,Ge4+,1.09,1.69,0.755,1.66,0.67,2.01,-0.0877238943750001
Mg2+,Al3+,Ge4+,0.86,1.31,0.675,1.61,0.67,2.01,-0.037325197624999265
Cd2+,Tm3+,Ti4+,1.09,1.69,1.02,1.25,0.745,1.54,0.004684076937500237
Eu3+,In3+,Al3+,1.087,1.2,0.94,1.78,0.675,1.61,-0.007905248640625473
Sr2+,In3+,Ti4+,1.32,0.95,0.94,1.78,0.745,1.54,-0.18339184168750008
Sm3+,Al3+,Al3+,1.0979999999999999,1.17,0.675,1.61,0.675,1.61,-0.0541138753437501
Cd2+,Ho3+,Ge4+,1.09,1.69,1.041,1.23,0.67,2.01,-0.0644998545
Zn2+,Er3+,Ge4+,0.88,1.65,1.03,1.24,0.67,2.01,0.1269816881875002
Ca2+,Ga3+,Sn4+,1.14,1.0,0.76,1.81,0.83,1.96,0.026989324499999513
Mg2+,Ga3+,Sn4+,0.86,1.31,0.76,1.81,0.83,1.96,0.2279370796249996
Bi3+,Ho3+,Ga3+,1.17,2.02,1.041,1.23,0.76,1.81,-0.003925819437500167
La3+,Al3+,Al3+,1.172,1.1,0.675,1.61,0.675,1.61,-0.020461044000000327
Dy3+,Sc3+,Ga3+,1.052,1.22,0.885,1.36,0.76,1.81,-0.052909658187499174
Ca2+,Al3+,Sn4+,1.14,1.0,0.675,1.61,0.83,1.96,0.028607034000000198
Ca2+,Sc3+,Ge4+,1.14,1.0,0.885,1.36,0.67,2.01,-0.18890945618749946
Nd3+,Ga3+,Ga3+,1.123,1.14,0.76,1.81,0.76,1.81,-0.06905179693749944
Ho3+,Tm3+,Ga3+,1.041,1.23,1.02,1.25,0.76,1.81,-0.012671536000000571
Sr2+,Ga3+,Ti4+,1.32,0.95,0.76,1.81,0.745,1.54,-0.15036486575000013
Sr2+,Er3+,Ti4+,1.32,0.95,1.03,1.24,0.745,1.54,-0.2047607143124992
Ba2+,Dy3+,Si4+,1.49,0.89,1.052,1.22,0.54,1.9,-0.1589284123749998
Ho3+,Rh3+,Al3+,1.041,1.23,0.805,2.28,0.675,1.61,-0.01489709131249981
